date,campaign_id,platform,cost_usd
2026-01-24,cmp_100,facebook,414.62
2026-01-24,cmp_101,google,204.45
2026-01-24,cmp_102,email,585.61
2026-01-25,cmp_100,facebook,428.20
2026-01-25,cmp_101,google,292.05
2026-01-25,cmp_102,email,71.77
2026-01-26,cmp_100,facebook,419.55
2026-01-26,cmp_101,google,628.76
2026-01-26,cmp_102,email,229.92
2026-01-27,cmp_100,facebook,623.04
2026-01-27,cmp_101,google,637.42
2026-01-27,cmp_102,email,623.67
2026-01-28,cmp_100,facebook,205.08
2026-01-28,cmp_101,google,637.32
2026-01-28,cmp_102,email,427.52
2026-01-29,cmp_100,facebook,140.60
2026-01-29,cmp_101,google,278.32
2026-01-29,cmp_102,email,550.06
