date,campaign_id,platform,spend
2026-01-12,cmp_100,facebook,586.63
2026-01-12,cmp_101,google,539.91
2026-01-12,cmp_102,email,208.77
2026-01-13,cmp_100,facebook,539.43
2026-01-13,cmp_101,google,569.15
2026-01-13,cmp_102,email,410.15
2026-01-14,cmp_100,facebook,313.03
2026-01-14,cmp_101,google,91.27
2026-01-14,cmp_102,email,296.24
2026-01-15,cmp_100,facebook,54.23
2026-01-15,cmp_101,google,166.14
2026-01-15,cmp_102,email,483.47
2026-01-16,cmp_100,facebook,69.88
2026-01-16,cmp_101,google,585.22
2026-01-16,cmp_102,email,277.39
2026-01-17,cmp_100,facebook,221.65
2026-01-17,cmp_101,google,512.15
2026-01-17,cmp_102,email,286.11
