date,campaign_id,platform,spend
2026-01-06,cmp_100,facebook,341.92
2026-01-06,cmp_101,google,632.32
2026-01-06,cmp_102,email,551.90
2026-01-07,cmp_100,facebook,390.20
2026-01-07,cmp_101,google,372.09
2026-01-07,cmp_102,email,85.24
2026-01-08,cmp_100,facebook,236.94
2026-01-08,cmp_101,google,188.08
2026-01-08,cmp_102,email,538.39
2026-01-09,cmp_100,facebook,50.00
2026-01-09,cmp_101,google,238.45
2026-01-09,cmp_102,email,473.78
2026-01-10,cmp_100,facebook,529.43
2026-01-10,cmp_101,google,539.68
2026-01-10,cmp_102,email,396.80
2026-01-11,cmp_100,facebook,455.47
2026-01-11,cmp_101,google,516.79
2026-01-11,cmp_102,email,621.40
