date,campaign_id,platform,spend
2026-01-18,cmp_100,facebook,313.74
2026-01-18,cmp_101,google,256.12
2026-01-18,cmp_102,email,61.66
2026-01-19,cmp_100,facebook,466.33
2026-01-19,cmp_101,google,634.62
2026-01-19,cmp_102,email,189.05
2026-01-20,cmp_100,facebook,222.28
2026-01-20,cmp_101,google,471.82
2026-01-20,cmp_102,email,181.83
2026-01-21,cmp_100,facebook,418.49
2026-01-21,cmp_101,google,407.66
2026-01-21,cmp_102,email,366.46
2026-01-22,cmp_100,facebook,392.17
2026-01-22,cmp_101,google,135.72
2026-01-22,cmp_102,email,571.65
2026-01-23,cmp_100,facebook,76.81
2026-01-23,cmp_101,google,60.44
2026-01-23,cmp_102,email,236.81
