date,campaign_id,platform,cost_usd
2026-01-24,cmp_100,Meta,364.01
2026-01-24,cmp_101,Google,397.19
2026-01-24,cmp_102,Newsletter,245.51
2026-01-25,cmp_100,Meta,48.59
2026-01-25,cmp_101,Google,310.53
2026-01-25,cmp_102,Newsletter,503.13
2026-01-26,cmp_100,Meta,188.75
2026-01-26,cmp_101,Google,531.57
2026-01-26,cmp_102,Newsletter,378.68
2026-01-27,cmp_100,Meta,495.57
2026-01-27,cmp_101,Google,66.59
2026-01-27,cmp_102,Newsletter,370.95
2026-01-28,cmp_100,Meta,158.86
2026-01-28,cmp_101,Google,459.42
2026-01-28,cmp_102,Newsletter,305.77
2026-01-29,cmp_100,Meta,253.14
2026-01-29,cmp_101,Google,219.12
2026-01-29,cmp_102,Newsletter,600.34
